,STK000,STK001,STK002,STK003,STK004,STK005,STK006,STK007,STK008,STK009
2025-01-01,0.028578842109088898,0.14059796256752544,0.1397257658728388,0.11247943801617964,0.12994740635988386,0.08587811105059673,0.03183747460558047,0.04655525868907976,0.021994584682403784,0.2624051560468227
2025-01-02,0.21791447376798007,0.06745781613883226,0.09663379458660139,0.20717916886670723,0.09951179381723942,0.013407914199967877,0.06956298309684257,0.07559970207903233,0.04470704631932409,0.10802530712747264
2025-01-03,0.11611798453081534,0.06608056820063027,0.007309097142465568,0.05298554291865529,0.21074147361296797,0.0006025510463029337,0.05265446968818644,0.06590059282800174,0.1000469472897321,0.3275607727422423
2025-01-06,0.24574992918064517,0.04489761420885435,0.08668588033578115,0.0998037943200447,0.0013149944426346465,0.10867063359923805,0.01955975278726825,0.32383639756465055,0.01605683716353406,0.05342416639734919
2025-01-07,0.0058817665225227135,0.10090654773569475,0.13143482360912434,0.010736477494678596,0.23600187357087304,0.09538544940077734,0.11739377133205779,0.09180701346454201,0.0808941935382241,0.12955808333150523
2025-01-08,0.2124176463502166,0.1815285881244581,0.004635862526740021,0.042358024818278425,0.044344115737695554,0.1880706290705408,0.0033596054018914137,0.018553006591864537,0.27154083808209134,0.033191683296223115
2025-01-09,0.0507957821575217,0.33186077669482533,0.0019161418572665545,0.013087489425601425,0.03412172143422132,0.003937139020803026,0.02931243464515732,0.12807800467293212,0.08011549743149982,0.32677501266017134
2025-01-10,0.028972894776232952,0.24630843255433324,0.11980014604578512,0.012538959576553736,0.1684967430966121,0.05551369254986026,0.18685686803196216,0.13362705821197737,0.0459975154796254,0.0018876896770575545
2025-01-13,0.0024249082882791336,0.3209657090542692,0.016366602967902728,0.11225042871213672,0.041841264906040856,0.10553490566592139,0.13767906392933066,0.2312885848617497,0.03020409039285821,0.001444441221511405
2025-01-14,0.15035189286310696,0.009884460792671967,0.037368619440668376,0.27524610792794524,0.017759128243184933,0.18990342688208636,0.05784212583567397,0.10132999316242476,0.06999660604366983,0.0903176388085675
